Time	HTTP Q	Video Q	HTTP Sent	Video Sent	HTTP Drop	Video Drop
0		524400		32000		64000		400		0		0
1		0		32000		64000		0		0		0
2		0		31600		63920		0		0		0
3		0		32000		64000		0		0		0
4		0		32400		64000		0		0		0
5		0		32000		64080		0		0		0
6		0		32000		64000		0		0		0
7		0		32000		64000		0		0		0
8		0		31600		12320		51600		0		230000
9		0		32000		0		38000		0		0
10		0		32000		0		32000		0		0
11		0		32000		0		32000		0		0
12		0		32000		0		32000		0		0
13		0		32000		0		32000		0		0
14		0		32000		0		32000		0		0
15		0		32000		0		32000		0		0
Summary of Packet Drops :
% HTTP Packet Drop  : 0.000000 
% Video Packet Drop  : 44.921875 
